Authors,Article Title,Publication Year,Author Keywords,Keywords Plus,"Times Cited, WoS Core","Times Cited, All Databases",DOI Link,Research Areas,Intern Assigned
"Irwin, ZT; Schroeder, KE; Vu, PP; Bullard, AJ; Tat, DM; Nu, CS; Vaskov, A; Nason, SR; Thompson, DE; Bentley, JN; Patil, PG; Chestek, CA",Neural control of finger movement via intracortical brain-machine interface,2017,brain-machine interface; finger movement; intracortical recording; closed-loop control,MOTOR CORTICAL DISCHARGE; GRASP; REACH; HAND; ARM; INDEPENDENCE; TETRAPLEGIA; ENVIRONMENT; PROSTHESIS; KINEMATICS,43,56,http://dx.doi.org/10.1088/1741-2552/aa80bd,Engineering; Neurosciences & Neurology,
"Kreilinger, A; Neuper, C; Müller-Putz, GR",Error potential detection during continuous movement of an artificial arm controlled by brain-computer interface,2012,Brain-computer interface; Electroencephalogram; Error potential; Motor imagery,EEG-BASED COMMUNICATION; MOTOR IMAGERY; PATTERNS; ERP,43,48,http://dx.doi.org/10.1007/s11517-011-0858-4,Computer Science; Engineering; Mathematical & Computational Biology; Medical Informatics,
"Fouad, MM; Amin, KM; El-Bendary, N; Hassanien, AE",Brain Computer Interface: A Review,2015,Brain computer interface (BCI); Neuroimaging; Electroencephalography (EEG); Electrocorticography (ECoG); Magnetoencephalography (MEG); Near infrared spectroscopy (NIRS); Intracortical neuron recording; Functional magnetic resonance imaging (fMRI); Feature extraction,NEAR-INFRARED SPECTROSCOPY; BLIND SOURCE SEPARATION; HIGHER-ORDER STATISTICS; HIDDEN MARKOV-MODELS; SINGLE TRIAL EEG; FEATURE-EXTRACTION; FEATURE-SELECTION; WORKING-MEMORY; BCI; CLASSIFICATION,41,51,http://dx.doi.org/10.1007/978-3-319-10978-7_1,Computer Science; Neurosciences & Neurology,
"Hughes, C; Herrera, A; Gaunt, R; Collinger, J",Bidirectional brain-computer interfaces,2020,,REACH-TO-GRASP; ELECTRICAL-STIMULATION; INTRACORTICAL MICROSTIMULATION; SOMATOSENSORY CORTEX; OBJECT MANIPULATION; CORTICAL CONTROL; MOTOR CORTEX; ELECTROCORTICOGRAPHIC SIGNALS; MACHINE INTERFACES; NEURONAL ENSEMBLE,39,49,http://dx.doi.org/10.1016/B978-0-444-63934-9.00013-5,Computer Science; Engineering; Neurosciences & Neurology; Rehabilitation,
"Collinger, JL; Gaunt, RA; Schwartz, AB",Progress towards restoring upper limb movement and sensation through intracortical brain-computer interfaces,2018,Motor; Somatosensory; Bidirectional; Brain-computer interface; Neuroprosthetics,,39,49,http://dx.doi.org/10.1016/j.cobme.2018.11.005,Engineering,
"Leite, J; Morales-Quezada, L; Carvalho, S; Thibaut, A; Doruk, D; Chen, CF; Schachter, SC; Rotenberg, A; Fregni, F",Surface EEG-Transcranial Direct Current Stimulation (tDCS) Closed-Loop System,2017,EEG-tDCS closed-loop system; EEG algorithm; cognitive task; proof-of-concept,NONINVASIVE BRAIN-STIMULATION; PRIMARY MOTOR CORTEX; PHANTOM LIMB PAIN; ELECTRICAL-STIMULATION; WORKING-MEMORY; MAGNETIC STIMULATION; COMPUTER INTERFACES; SEIZURE PREDICTION; CLINICAL-TRIAL; EPILEPSY,39,48,http://dx.doi.org/10.1142/S0129065717500265,Computer Science,"Rhea, Ruhan"
"Shokur, S; Donati, ARC; Campos, DSF; Gitti, C; Bao, G; Fischer, D; Almeida, S; Braga, VAS; Augusto, P; Petty, C; Alho, EJL; Lebedev, M; Song, AW; Nicolelis, MAL","Training with brain-machine interfaces, visuotactile feedback and assisted locomotion improves sensorimotor, visceral, and psychological signs in chronic paraplegic patients",2018,,SPINAL-CORD-INJURY; MOTOR CORTEX STIMULATION; SACRAL NERVE-STIMULATION; OPEN-SOURCE SOFTWARE; QUALITY-OF-LIFE; COMPUTER INTERFACES; NEUROGENIC BLADDER; NEUROPATHIC PAIN; RECOVERY; REHABILITATION,37,38,http://dx.doi.org/10.1371/journal.pone.0206464,Science & Technology - Other Topics,"Tanvi, Tasnim"
"Scandola, M; Aglioti, SM; Pozeg, P; Avesani, R; Moro, V","Motor imagery in spinal cord injured people is modulated by somatotopic coding, perspective taking, and post-lesional chronic pain",2017,spinal cord injury; motor imagery; somatotopic plasticity; perspective taking; chronic pain,NEUROPATHIC PAIN; INTERNATIONAL STANDARDS; MENTAL ROTATION; ITALIAN VERSION; BODY SCHEMA; BRAIN; MOVEMENTS; REPRESENTATIONS; CLASSIFICATION; REORGANIZATION,34,37,http://dx.doi.org/10.1111/jnp.12098,Psychology,"Austin, Abhimanyu"
"Li, FC; Zhang, D; Chen, J; Tang, K; Li, XM; Hou, ZM",Research hotspots and trends of brain-computer interface technology in stroke: a bibliometric study and visualization analysis,2023,brain-computer interface; stroke; bibliometric; visualization analysis; VOSviewer; CiteSpace,MACHINE INTERFACES; BCI SYSTEM; NEUROREHABILITATION; REHABILITATION; COMMUNICATION; FEEDBACK; SCIENCE; PAIN; LIMB,31,31,http://dx.doi.org/10.3389/fnins.2023.1243151,Neurosciences & Neurology,"Harshini, Christine"
"Leeb, R; Pérez-Marcos, DP",Brain-computer interfaces and virtual reality for neurorehabilitation,2020,,MOTOR IMAGERY; CORTICAL REORGANIZATION; CHRONIC STROKE; MACHINE INTERFACE; BCI; REHABILITATION; RECOVERY; PAIN; COMMUNICATION; FRAMEWORK,29,35,http://dx.doi.org/10.1016/B978-0-444-63934-9.00014-7,Computer Science; Engineering; Neurosciences & Neurology; Rehabilitation,"Jason, Kaung"
"Sorger, B; Goebel, R",Real-time fMRI for brain-computer interfacing,2020,,RESONANCE-IMAGING NEUROFEEDBACK; CORTEX ACTIVITY; FUNCTIONAL MRI; REDUCTION; PAIN; ACTIVATION; THOUGHT; IMAGERY; EPI,28,39,http://dx.doi.org/10.1016/B978-0-444-63934-9.00021-4,Computer Science; Engineering; Neurosciences & Neurology; Rehabilitation,
"Pattnaik, PK; Sarraf, J",Brain Computer Interface issues on hand movement,2018,BCI; Non invasive; Feature extraction; EEG,,28,34,http://dx.doi.org/10.1016/j.jksuci.2016.09.006,Computer Science,
"Vase, L; Egsgaard, LL; Nikolajsen, L; Svensson, P; Jensen, TS; Arendt-Nielsen, L",Pain catastrophizing and cortical responses in amputees with varying levels of phantom limb pain: a high-density EEG brain-mapping study,2012,Phantom limb pain; Pain catastrophizing; EEG; Hypervigilance; Attentional model; SII,ADJUSTMENT; REORGANIZATION; REPRESENTATION; AMPUTATION; SIGNALS; CORTEX,28,30,http://dx.doi.org/10.1007/s00221-012-3027-6,Neurosciences & Neurology,
"Chen, D; Zhang, HH; Kavitha, PT; Loy, FL; Ng, SH; Wang, CC; Phua, KS; Tjan, SY; Yang, SY; Guan, CT",Scalp EEG-Based Pain Detection Using Convolutional Neural Network,2022,Pain; Electroencephalography; Task analysis; Convolutional neural networks; Machine learning; Brain modeling; IEEE transactions; Pain detection; chronic pain; EEG; CNN,CLASSIFICATION,27,32,http://dx.doi.org/10.1109/TNSRE.2022.3147673,Engineering; Rehabilitation,
"Zhang, SY; Yoshida, W; Mano, H; Yanagisawa, T; Mancini, F; Shibata, K; Kawato, M; Seymour, B",Pain Control by Co-adaptive Learning in a Brain-Machine Interface,2020,,FMRI NEUROFEEDBACK; EMOTION REGULATION; OFFSET ANALGESIA; PERCEPTION; SYSTEM; REAL; CONNECTIVITY; INFORMATION; ACTIVATION; MECHANISM,27,30,http://dx.doi.org/10.1016/j.cub.2020.07.066,Biochemistry & Molecular Biology; Life Sciences & Biomedicine - Other Topics; Cell Biology,
"Sreeja, SR; Himanshu; Samanta, D",Distance-based weighted sparse representation to classify motor imagery EEG signals for BCI applications,2020,Electroencephalography (EEG); Brain computer interface (BCI); Motor imagery (MI); Sparsity-based classification; Weighted sparse representation,BRAIN-COMPUTER-INTERFACE; SPATIAL-PATTERNS; NEURAL-NETWORKS; CLASSIFICATION; DECOMPOSITION; ROBUST,27,29,http://dx.doi.org/10.1007/s11042-019-08602-0,Computer Science; Engineering,
"Ding, KQ; Dragomir, A; Bose, R; Osborn, LE; Seet, MS; Bezerianos, A; Thakor, N",Towards machine to brain interfaces: sensory stimulation enhances sensorimotor dynamic functional connectivity in upper limb amputees,2020,sensory stimulation; EEG; functional connectivity; temporal dynamics; sensorimotor processing,NEURAL ACTIVITY; MOTOR; NETWORK; INTEGRATION; CORTEX; PREMOTOR; INFORMATION; EXECUTION; AREAS; HAND,26,27,http://dx.doi.org/10.1088/1741-2552/ab882d,Engineering; Neurosciences & Neurology,
"Sreeja, SR; Samanta, D",Classification of multiclass motor imagery EEG signal using sparsity approach,2019,Electroencephalogram; Motor imagery; Brain computer interface; Sparse representation; Sparsity-based classification,BRAIN-COMPUTER-INTERFACE; COMMON SPATIAL-PATTERNS; REPRESENTATION; ALGORITHMS; SELECTION; MACHINE,26,31,http://dx.doi.org/10.1016/j.neucom.2019.08.037,Computer Science,
"Wang, J; Chen, Z",Neuromodulation for Pain Management,2019,Pain management; Neuromodulation; Brain-computer interfaces; Circuit-based neural signature,DEEP BRAIN-STIMULATION; SPINAL-CORD STIMULATION; MEDIAN-PARAFASCICULAR COMPLEX; MOTOR CORTEX STIMULATION; CHRONIC BACK-PAIN; ANTERIOR CINGULATE; ELECTRICAL-STIMULATION; THALAMIC-STIMULATION; NUCLEUS-ACCUMBENS; AFFECTIVE COMPONENT,26,31,http://dx.doi.org/10.1007/978-981-13-2050-7_8,Engineering; Neurosciences & Neurology,"Rhea, Ruhan"
"Wang, K; Wang, ZP; Guo, Y; He, F; Qi, HZ; Xu, MP; Ming, D",A brain-computer interface driven by imagining different force loads on a single hand: an online feasibility study,2017,Force load; Motor imagery; Electroencephalogram (EEG); Event related Desynchronization (ERD); Brain computer Interface (BCI),MOTOR IMAGERY; STROKE PATIENTS; ACTIVATION; EMG,26,36,http://dx.doi.org/10.1186/s12984-017-0307-1,Engineering; Neurosciences & Neurology; Rehabilitation,
"Vuckovic, A; Wallace, L; Allan, DB",Hybrid Brain-Computer Interface and Functional Electrical Stimulation for Sensorimotor Training in Participants With Tetraplegia: A Proof-of-Concept Study,2015,brain-computer interface; even-related desynchronization; functional electrical stimulation; motor imagery; tetraplegia,SPINAL-CORD-INJURY; MOTOR IMAGERY; NEUROPATHIC PAIN; REORGANIZATION; PLASTICITY; RECOVERY; INDIVIDUALS; CORTEX; BCI,26,35,http://dx.doi.org/10.1097/NPT.0000000000000063,Neurosciences & Neurology; Rehabilitation,"Tanvi, Tasnim"
"Tayeb, Z; Bose, R; Dragomir, A; Osborn, LE; Thakor, NV; Cheng, G",Decoding of Pain Perception using EEG Signals for a Real-Time Reflex System in Prostheses: A Case Study,2020,,HUMANS,25,30,http://dx.doi.org/10.1038/s41598-020-62525-7,Science & Technology - Other Topics,"Abhimanyu, Austin"
"Rupp, R",Spinal cord lesions,2020,,BRAIN-COMPUTER INTERFACES; NEUROPATHIC PAIN; TROSPIUM CHLORIDE; CORTICAL ACTIVITY; QUANTITATIVE EEG; UPPER EXTREMITY; WAVE ACTIVITY; INJURY; PREVALENCE; RESTORATION,25,29,http://dx.doi.org/10.1016/B978-0-444-63934-9.00006-8,Computer Science; Engineering; Neurosciences & Neurology; Rehabilitation,
"Di Pino, G; Piombino, V; Carassiti, M; Ortiz-Catalan, M",Neurophysiological models of phantom limb pain: what can be learnt,2021,Phantom limb; Pathophysiology; Neuronal plasticity; Body image,DIRECT-CURRENT STIMULATION; CORTICAL REORGANIZATION; MOTOR CORTEX; RECEPTOR ANTAGONIST; STUMP PAIN; AMPUTATION; PERCEPTION; MEMANTINE; SENSATION; PLASTICITY,22,25,http://dx.doi.org/10.23736/S0375-9393.20.15067-3,Anesthesiology; General & Internal Medicine,"Christine, Harshini"
"Mattia, D; Pichiorri, F; Colamarino, E; Masciullo, M; Morone, G; Toppi, J; Pisotta, I; Tamburella, F; Lorusso, M; Paolucci, S; Puopolo, M; Cincotti, F; Molinari, M","The Promotoer, a brain-computer interface-assisted intervention to promote upper limb functional motor recovery after stroke: a study protocol for a randomized controlled trial to test early and long-term efficacy and to identify determinants of response",2020,EEG-based brain-computer interface; Stroke; Hand functional motor recovery; Brain plasticity; Motor learning; Motor imagery; Neurorehabilitation,REHABILITATION; IMPAIRMENT; IMAGERY; RELIABILITY; THERAPY; DESIGN,22,31,http://dx.doi.org/10.1186/s12883-020-01826-w,Neurosciences & Neurology,"Jason, Kaung"
"Mwata-Velu, T; Ruiz-Pinales, J; Rostro-Gonzalez, H; Ibarra-Manzano, MA; Cruz-Duarte, JM; Avina-Cervantes, JG",Motor Imagery Classification Based on a Recurrent-Convolutional Architecture to Control a Hexapod Robot,2021,brain-computer interface; EEG motor imagery; CNN-LSTM architectures; real-time motion imagery recognition,BRAIN COMPUTER-INTERFACE,21,24,http://dx.doi.org/10.3390/math9060606,Mathematics,
"Thomschewski, A; Ströhlein, A; Langthaler, PB; Schmid, E; Potthoff, J; Höller, P; Leis, S; Trinka, E; Höller, Y",Imagine There Is No Plegia. Mental Motor Imagery Difficulties in Patients with Traumatic Spinal Cord Injury,2017,spinal cord injury (SCI); motor imagery (MI); movement imagination; rehabilitation; neuroprostheses,FUNCTIONAL ELECTRICAL-STIMULATION; BRAIN-COMPUTER INTERFACE; NEUROPATHIC PAIN; DEPRESSION; REHABILITATION; MOVEMENTS; REPRESENTATIONS; NEUROPLASTICITY; CLASSIFICATION; INDIVIDUALS,20,21,http://dx.doi.org/10.3389/fnins.2017.00689,Neurosciences & Neurology,"Rhea, Ruhan"
"Carra, M; Balbinot, A",Evaluation of Sensorimotor Rhythms to Control a Wheelchair,2013,Electroencephalography; Classifier Learning Vector Quantizatio; Brain-Computer Interface (BCI); control wheelchair,,19,26,,Mathematical & Computational Biology; Robotics,
"Besio, W; Sharma, V; Spaulding, J",The Effects of Concentric Ring Electrode Electrical Stimulation on Rat Skin,2010,Noninvasive electrical stimulation; Transcutaneous electrical stimulation; Electrical-thermal coupled field analysis; Infrared thermography,DISPERSIVE ELECTRODES; BURNS; DEFIBRILLATION; TISSUE; BRAIN; INTERFACE,18,19,http://dx.doi.org/10.1007/s10439-009-9891-y,Engineering,
"Tidoni, E; Tieri, G; Aglioti, SM",Re-establishing the disrupted sensorimotor loop in deafferented and deefferented people: The case of spinal cord injuries,2015,Sensorimotor loop; Spinal cord injury; Brain computer interface; Embodiment; Brain plasticity; Chronic pain,BRAIN-COMPUTER INTERFACE; RUBBER HAND ILLUSION; MOTOR SYSTEM FUNCTION; NEUROPATHIC PAIN; CORTICAL REORGANIZATION; FUNCTIONAL REORGANIZATION; PHANTOM SENSATIONS; EVOKED-POTENTIALS; WAVE ACTIVITY; CORTEX,17,19,http://dx.doi.org/10.1016/j.neuropsychologia.2015.06.029,Behavioral Sciences; Neurosciences & Neurology; Psychology,"Tanvi, Tasnim"
"Vuckovic, A; Hasan, MA; Osuagwu, B; Fraser, M; Allan, DB; Conway, BA; Nasseroleslami, B",The influence of central neuropathic pain in paraplegic patients on performance of a motor imagery based Brain Computer Interface,2015,EEG; Motor imagery; BCI; Paraplegia; Central neuropathic pain; Event related synchronisation/desynchronisation,EEG; CLASSIFICATION; REORGANIZATION; FEASIBILITY; PREVALENCE; DYNAMICS; BCI,17,21,http://dx.doi.org/10.1016/j.clinph.2014.12.033,Neurosciences & Neurology,"Abhimanyu, Austin"
"Kothari, M; Svensson, P; Huo, XL; Ghovanloo, M; Baad-Hansen, L",Motivational conditions influence tongue motor performance,2013,monetary reward; motivation; self-controlled practice; Tongue Drive System; tongue-training,CORTICOMOTOR CONTROL; COMPUTER INTERFACE; SKILL; TASK; GENDER; PLASTICITY; RESPONSES; BRAIN; MUSCULATURE; CONCURRENT,17,18,http://dx.doi.org/10.1111/eos.12022,"Dentistry, Oral Surgery & Medicine",
"Colamarino, E; Lorusso, M; Pichiorri, F; Toppi, J; Tamburella, F; Serratore, G; Riccio, A; Tomaiuolo, F; Bigioni, A; Giove, F; Scivoletto, G; Cincotti, F; Mattia, D",DiSCIoser: unlocking recovery potential of arm sensorimotor functions after spinal cord injury by promoting activity-dependent brain plasticity by means of brain-computer interface technology: a randomized controlled trial to test efficacy,2023,EEG-based Brain-Computer Interface; Spinal cord injury; Hand functional sensorimotor recovery; Brain plasticity; Motor imagery; Neurorehabilitation,INTERRATER RELIABILITY; MOTOR RECOVERY; SCALE; RESTORATION; INDIVIDUALS; INVENTORY; IMAGERY; VERSION; PEOPLE; PAIN,16,16,http://dx.doi.org/10.1186/s12883-023-03442-w,Neurosciences & Neurology,"Christine, Harshini"
"Savic, AM; Novicic, M; Dordevic, O; Konstantinovic, L; Miler-Jerkovic, V",Novel electrotactile brain-computer interface with somatosensory event-related potential based control,2023,brain computer interface (BCI); event-related potentials (ERP); electrical stimulation; somatosensory evoked potential (SEP); tactile attention; tactile BCI; machine learning,EVOKED POTENTIALS; POINTS,16,17,http://dx.doi.org/10.3389/fnhum.2023.1096814,Neurosciences & Neurology; Psychology,
"Yao, L; Jiang, N; Mrachacz-Kersting, N; Zhu, XY; Farina, D; Wang, YM",Reducing the Calibration Time in Somatosensory BCI by Using Tactile ERD,2022,Brain-computer interface (BCI); tactile event-related desynchronization (ERD); somatosensory BCI; imagined sensation,BRAIN-COMPUTER-INTERFACE; COMMON SPATIAL-PATTERNS; STEADY-STATE RESPONSES; MOTOR IMAGERY; ELECTRICAL-STIMULATION; EVOKED POTENTIALS; EEG; (DE)SYNCHRONIZATION; DISCRIMINATION; REHABILITATION,15,15,http://dx.doi.org/10.1109/TNSRE.2022.3184402,Engineering; Rehabilitation,
"Kaas, A; Goebel, R; Valente, G; Sorger, B",Topographic Somatosensory Imagery for Real-Time fMRI Brain-Computer Interfacing,2019,tactile; human; real-time fMRI; MVPA; somatotopy,HUMAN PARIETAL OPERCULUM; REGIONAL PAIN SYNDROME; SPATIAL NAVIGATION; DIGIT SOMATOTOPY; TACTILE IMAGERY; MENTAL IMAGES; CORTEX; COMMUNICATION; AREAS; 3B,15,17,http://dx.doi.org/10.3389/fnhum.2019.00427,Neurosciences & Neurology; Psychology,
"Aurucci, GV; Preatoni, G; Damiani, A; Raspopovic, S",Brain-Computer Interface to Deliver Individualized Multisensory Intervention for Neuropathic Pain,2023,Neuropathic pain; Transcutaneous electrical nerve stimulation; Virtual reality; EEG; Skin conductance; BCI,DIABETIC POLYNEUROPATHY; OSCILLATORY ACTIVITY; VIRTUAL-REALITY; ORIGIN,14,18,http://dx.doi.org/10.1007/s13311-023-01396-y,Neurosciences & Neurology; Pharmacology & Pharmacy,
"Proverbio, AM; Pischedda, F",Measuring brain potentials of imagination linked to physiological needs and motivational states,2023,EEG; ERP; mental imagery; motivational states; ERP markers; brain computer interface (BCI),EARLY VISUAL-CORTEX; MENTAL-IMAGERY; MOTOR IMAGERY; PERCEPTION; APPETITE; SYSTEM; GYRUS; HEAT; COLD,14,15,http://dx.doi.org/10.3389/fnhum.2023.1146789,Neurosciences & Neurology; Psychology,
"Li, H; Liu, M; Yu, X; Zhu, JQ; Wang, CF; Chen, XY; Feng, C; Leng, JC; Zhang, Y; Xu, FZ",Coherence based graph convolution network for motor imagery-induced EEG after spinal cord injury,2023,electroencephalogram; motor imagery; brain-computer interface; coherence-based graph convolutional network; spinal cord injury,FUNCTIONAL CONNECTIVITY; CHRONIC PAIN,14,14,http://dx.doi.org/10.3389/fnins.2022.1097660,Neurosciences & Neurology,"Jason, Kaung"
"Wriessnegger, SC; Bauernfeind, G; Kurz, EM; Raggam, P; Müller-Putz, GR",Imagine squeezing a cactus: Cortical activation during affective motor imagery measured by functional near-infrared spectroscopy,2018,,BRAIN-COMPUTER-INTERFACE; MENTAL-IMAGERY; KINESTHETIC IMAGERY; PAIN PERCEPTION; DEFAULT MODE; BOLD SIGNAL; CORTEX; NETWORK; TOOL; MODULATION,14,16,http://dx.doi.org/10.1016/j.bandc.2018.07.006,Neurosciences & Neurology; Psychology,"Rhea, Ruhan"
"Chen, Y; Zhang, GK; Guan, LX; Gong, C; Ma, BZ; Hao, HW; Li, LM",Progress in the development of a fully implantable brain-computer interface: the potential of sensing-enabled neurostimulators,2022,,PREDICTION,13,19,http://dx.doi.org/10.1093/nsr/nwac099,Science & Technology - Other Topics,
